brand, total_sales, type
Adidas, 30, Other
Adidas, 1, Other
Adidas, 1, Other
Adidas, 2, Other
Adidas, 102, Other
Adidas, 7, Other
Adidas, 167, Other
Adidas, 60, Other
Adidas, 32, Other
Adidas, 13, Other
Adidas, 15, Other
Adidas, 2, Other
Adidas, 5, Other
Adidas, 1, Other
Adidas, 3, Other
Adidas, 10, Other
Adidas, 6, Other
Adidas, 6, Other
Adidas, 5, Other
Adidas, 8, Other
Adidas, 1, Other
Adidas, 13, Other
Adidas, 26, Other
Adidas, 7, Other
Adidas, 18, Other
Adidas, 416, Other
Adidas, 121, Other
Adidas, 66, Other
Adidas, 21, Other
Adidas, 96, Other
Adidas, 61, Other
Adidas, 2, Other
Adidas, 48, Other
Adidas, 5, Other
Adidas, 16, Other
Adidas, 735, Other
Adidas, 10, Other
Adidas, 8, Other
Adidas, 9, Other
Adidas, 33, Other
Adidas, 8, Other
Adidas, 480, Other
Adidas, 441, Other
Adidas, 7, Other
Adidas, 23, Other
Adidas, 151, Other
Adidas, 6, Other
Adidas, 1, Other
Adidas, 8, Other
Adidas, 2, Other
Adidas, 9, Other
Adidas, 5, Other
Adidas, 25, Other
Adidas, 5, Other
Adidas, 4, Other
Adidas, 3, Other
Adidas, 88, Other
Adidas, 14, Other
Adidas, 20, Other
Adidas, 17, Other
Adidas, 14, Other
Adidas, 27, Other
Adidas, 9, Harden
Adidas, 18, Harden
Adidas, 31, Harden
Adidas, 28, Harden
Adidas, 264, Harden
Adidas, 57, Harden
Adidas, 94, Harden
Adidas, 57, Harden
Adidas, 42, Harden
Adidas, 153, Harden
Adidas, 126, Harden
Adidas, 102, Harden
Adidas, 19, Harden
Adidas, 59, Harden
Adidas, 7, Harden
Adidas, 8, Harden
Adidas, 35, Harden
Adidas, 10, Other
Adidas, 10, Other
Adidas, 5, Other
Adidas, 10, Other
Adidas, 15, Other
Adidas, 210, Other
Adidas, 56, Other
Adidas, 1330, Other
Adidas, 141, Other
Adidas, 81, Other
Adidas, 43, Other
Adidas, 36, Other
Adidas, 7, Other
