type, total_sales
Other, 3
Ultraboost, 15
Kobe, 312
Other, 13
Balenciaga, 31
Basketball, 373
Air Force, 3
Basketball, 7
3, 6780
Air Force, 2
Asics, 35
Lebron, 2
6, 5
Ultraboost, 1
Basketball, 1
Vans, 23
Other, 1
Reebok, 1
Air Force, 31
16-33, 172
Converse, 2
Air Max, 949
SB, 5
Converse, 28
Other, 1
Lebron, 63
Lebron, 8
Basketball, 12
Other, 13
Lebron, 18
Foamposite, 9
9, 27
Air Max, 80
Foamposite, 18
Iniki, 34
KD, 7
Lebron, 2
Other, 3
Puma, 33
Vans, 73
Kobe, 181
Air Max, 6
Other, 6
Other, 17
Basketball, 45
Vans, 317
Other, 5
Under Armour, 13
7, 29
Lebron, 2
Other, 1
Kobe, 21
Puma, 210
Other, 21
4, 1069
Other, 5
Ultraboost, 214
7, 1
4, 21
Basketball, 35
SB, 8
6, 22
Air Max, 199
Vans, 257
Vans, 88
Air Force, 46
Diadora, 20
Kobe, 1806
1, 58
16-33, 255
Kobe, 2
SB, 3
Basketball, 2
SB, 13
Converse, 82
SB, 690
KD, 14
Converse, 3
Air Force, 2
1, 2
Basketball, 6
Other, 1
NMD, 4105
Converse, 105
Asics, 4
1, 5
Yeezy, 910
Other, 1
10, 60
Air Max, 1262
New Balance, 5
Basketball, 1
Other, 9
Lebron, 1
16-33, 16
Other, 3
Lebron, 41
Other, 2
Reebok, 10
Other, 10
16-33, 3
Other, 7
16-33, 24
Air Max, 9
Reebok, 82
New Balance, 13
Vans, 5
Other, 50
Ultraboost, 165
Air Max, 22
Air Force, 45
NMD, 20
New Balance, 2
Basketball, 20
Asics, 13
Air Max, 52
Other, 89
Air Force, 11
1, 106
Ultraboost, 8
3, 10
Other, 1
Other, 9
12, 9
Puma, 3
Vans, 38
Ultraboost, 1315
Puma, 1
Other, 9
Foamposite, 3
Foamposite, 246
Spizike, 10
SB, 22
Asics, 7
10, 15
1, 1
11, 12
Kobe, 3
7, 122
Air Force, 73
Air Force, 674
Converse, 49
Air Max, 42
Asics, 2
Asics, 110
Other, 1
New Balance, 1
12, 5
Iniki, 44
1, 356
Saucony, 13
Iniki, 1
Ultraboost, 49
Ultraboost, 262
1, 3
Other, 1
Air Max, 5
Basketball, 11
Lebron, 711
1, 336
Other, 1
Reebok, 6
5, 16
New Balance, 2
Other, 5
NMD, 17
11, 58
Lebron, 29
New Balance, 2
Other, 5
5, 193
16-33, 51
Other, 5
NMD, 17
Other, 27
Kobe, 55
KD, 9
Air Force, 1
Vans, 1
Other, 1
12, 14
NMD, 98
Air Force, 5
4, 1
Kobe, 184
Air Max, 25
Basketball, 637
Saucony, 10
SB, 754
Other, 31
Balenciaga, 18
8, 459
Air Max, 229
Vans, 7
16-33, 5
SB, 91
10, 10
2, 16
Air Force, 1
1, 9
New Balance, 16
Basketball, 277
SB, 5
KD, 269
Ultraboost, 67
Packs, 158
Foamposite, 401
Air Max, 3
5, 93
NMD, 147
Kobe, 1
9, 17
Other, 7
Air Force, 7
Basketball, 189
Ultraboost, 7
Kobe, 48
Foamposite, 5
Foamposite, 50
Diadora, 1
Other, 50
Vans, 6
Air Max, 15
Air Max, 4
SB, 38
Air Max, 116
NMD, 3
10, 5
11, 1
10, 93
Other, 7
SB, 80
Ultraboost, 24
Basketball, 1
Asics, 6
Other, 116
4, 933
Lebron, 4
Air Max, 231
SB, 20
Basketball, 1
Basketball, 8
Basketball, 34
NMD, 13
Air Max, 9
3, 217
KD, 38
Other, 3
Kobe, 42
1, 57
Air Force, 4
