brand, total_sales, type
Nike, 1182, Air Max
Nike, 6, Air Max
Nike, 271, Air Max
Nike, 91, Air Max
Nike, 113, Air Max
Nike, 172, Air Max
Nike, 2567, Air Max
Nike, 100, Air Max
Nike, 209, Air Max
Nike, 1565, Air Max
Nike, 10, Air Max
Nike, 182, Air Max
Nike, 107, Air Max
Nike, 120, Air Max
Nike, 192, Air Max
Nike, 1163, Air Max
Nike, 221, Air Max
Nike, 66, Air Max
Nike, 320, Air Max
Nike, 67, Air Max
Nike, 204, Air Max
Nike, 15, Air Max
Nike, 24, Air Max
Nike, 36, Air Max
Nike, 284, Air Max
Nike, 599, Air Max
Nike, 1264, Air Max
Nike, 52, Air Max
Nike, 314, Air Max
Nike, 7, Air Max
Nike, 16, Air Max
Nike, 2, Air Max
Nike, 3, Air Max
Nike, 2, Air Max
Nike, 3, Air Max
Nike, 57, Air Max
Nike, 17, Air Max
Nike, 6, Air Max
Nike, 64, Air Max
Nike, 231, Air Max
Nike, 59, Air Max
Nike, 140, Air Max
Nike, 57, Air Max
Nike, 130, Air Max
Nike, 10, Air Max
Nike, 77, Air Max
Nike, 33, Air Max
Nike, 23, Air Max
Nike, 46, Air Max
Nike, 305, Air Max
Nike, 415, Air Max
Nike, 28, Air Max
Nike, 295, Air Max
Nike, 163, Air Max
Nike, 50, Air Max
Nike, 3, Air Max
Nike, 2, Air Max
Nike, 18, Air Max
Nike, 17, Air Max
Nike, 45, Air Max
Nike, 1, Air Max
Nike, 11, Air Max
Nike, 9, Air Max
Nike, 99, Air Max
Nike, 8, Air Max
Nike, 20, Air Max
Nike, 9, Air Max
Nike, 3, Air Max
Nike, 15, Air Max
Nike, 1, Air Max
Nike, 2, Air Max
