pk, brand, type, name, colorway, image, release_date, retail_price, ticker, total_sales, url, year_high, year_low, avg_sale_price, premium
1231, Jordan, Other, Jordan Legacy 312 Tech Challenge 2 Hot Lava, White/Hot Lava-Black-Zen Grey, https://stockx-360.imgix.net/Air-Jordan-Legacy-312-Tech-Challenge-2-Hot-Lava/Images/Air-Jordan-Legacy-312-Tech-Challenge-2-Hot-Lava/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-11, 160, NK-AJL312TC2HL, 943, https://www.stockx.com/air-jordan-legacy-312-tech-challenge-2-hot-lava, 620, 80, 169, 0
1264, Adidas, Yeezy, adidas Yeezy Boost 350 V2 Cream-Triple White, Cream White/Cream White, https://stockx-360.imgix.net/Adidas-Yeezy-Boost-350-V2-Cream-White/Images/Adidas-Yeezy-Boost-350-V2-Cream-White/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1539789713, 2017-04-29, 220, YZY350V2-CRMWHT, 33059, https://www.stockx.com/adidas-yeezy-boost-350-v2-cream-white, 865, 190, 276, 0
1270, Jordan, 5, Jordan 5 Retro Metallic White (2015), White/Metallic Silver-Black, https://stockx-360.imgix.net/Air-Jordan-5-Retro-White-Metallic-Silver-2015_TruView/Images/Air-Jordan-5-Retro-White-Metallic-Silver-2015_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2015-04-04, 190, AJ5-WMTSLV15, 531, https://www.stockx.com/jordan-5-retro-metallic-white-2015, 285, 116, 188, -100
1382, Jordan, 11, Jordan 11 Retro Space Jam 2016 (GS), Black/Dark Concord-White, https://stockx-360.imgix.net/air-jordan-11-retro-space-jam-2016-gs_TruView/Images/air-jordan-11-retro-space-jam-2016-gs_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1548444974, 2016-12-10, 170, AJ11-SPCJAM16GS, 657, https://www.stockx.com/air-jordan-11-retro-space-jam-2016-gs, 289, 112, 209, 0
1403, Jordan, 8, Jordan 8 Retro OVO Black, Black/Blur-Metallic Gold-Varsity Red, https://stockx-360.imgix.net/Air-Jordan-8-Retro-Ovo-Black_TruView/Images/Air-Jordan-8-Retro-Ovo-Black_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1548444887, 2018-02-16, 225, AJ8-OVOBLK, 2081, https://www.stockx.com/air-jordan-8-retro-ovo-black, 800, 170, 275, 0
1463, Jordan, 11, Jordan 11 Retro Low Georgetown, Grey Mist/White-Midnight Navy, https://stockx-360.imgix.net/Air-Jordan-11-Retro-Low-Georgetown_TruView/Images/Air-Jordan-11-Retro-Low-Georgetown_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2015-04-11, 170, AJ11L-GTOWN, 573, https://www.stockx.com/jordan-11-retro-low-georgetown, 345, 152, 229, 0
1472, Jordan, 1, Jordan 1 Mid Pink Foam (GS), Pink Foam/Black-White, https://stockx-360.imgix.net/Air-Jordan-1-Mid-Pink-Foam-GS/Images/Air-Jordan-1-Mid-Pink-Foam-GS/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1549053038, 2019-01-01, 90, AJ1M-PFGS, 702, https://www.stockx.com/air-jordan-1-mid-pink-foam-gs, 200, 60, 106, 0
1509, Jordan, 4, Jordan 4 Retro Alternate 89, White/Black-Gym Red, https://stockx-360.imgix.net/Air-Jordan-4-Retro-Alternate-89_TruView/Images/Air-Jordan-4-Retro-Alternate-89_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2016-01-02, 190, AJ4-ALT89, 753, https://www.stockx.com/jordan-4-retro-alternate-89, 300, 95, 202, 0
1530, Nike, Basketball, Kyrie 4 Lucky Charms, Bright Crimson/Multi-Color, https://stockx-360.imgix.net/Nike-Kyrie-4-Lucky-Charms/Images/Nike-Kyrie-4-Lucky-Charms/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1538080256, 2018-08-04, 120, KYR4-LC, 3003, https://www.stockx.com/nike-kyrie-4-lucky-charms, 600, 120, 200, 0
1533, Jordan, 4, Jordan 4 Retro Sand 2017 (GS), White/Boarder Blue-Light Sand, https://stockx-360.imgix.net/air-jordan-4-retro-sand-2017-gs_TruView/Images/air-jordan-4-retro-sand-2017-gs_TruView/Lv2/img01.jpg?auto=format,compress&w=1117&q=90&updated_at=1548444867, 2017-06-10, 140, AJ4-SAND17GS, 631, https://www.stockx.com/air-jordan-4-retro-sand-2017-gs, 193, 40, 112, -100
