brand, type, premium, total_sales, avg_sale_price
Nike, Air Force, 83.33, 4, 165
Nike, Air Force, 51.11, 9, 136
Nike, Air Force, 143.75, 5, 195
Nike, Air Force, 24.62, 1260, 162
Nike, Air Force, 50, 1, 225
Nike, Air Force, -23.81, 1, 80
Nike, Air Force, -50.05, 4, 999
Nike, Air Force, -26.32, 4, 70
Nike, Air Force, -24.62, 14, 98
Nike, Air Force, 46.92, 7, 191
Nike, Air Force, -5, 55, 95
Nike, Air Force, -29, 14, 71
Nike, Air Force, -30, 6, 77
Nike, Air Force, -2, 16, 98
Nike, Air Force, -23, 21, 77
Nike, Air Force, -12, 25, 88
Nike, Air Force, 30.83, 8, 157
Nike, Air Force, 29.09, 16, 142
Nike, Air Force, 67.78, 10, 302
Nike, Air Force, -13.33, 6, 65
Nike, Air Force, 364.06, 9, 594
Nike, Air Force, 294.53, 15, 505
Nike, Air Force, 167.11, 104, 609
Nike, Air Force, -40, 8, 120
Nike, Air Force, -15.6, 14, 211
Nike, Air Force, 247.66, 5, 445
Nike, Air Force, -1.38, 4, 143
Nike, Air Force, 80.61, 3621, 298
Nike, Air Force, 59.09, 819, 175
Nike, Air Force, 66.36, 990, 183
Nike, Air Force, 78.18, 1147, 196
Nike, Air Force, 64.21, 169, 156
Nike, Air Force, 78.46, 623, 232
Nike, Air Force, 87, 7, 187
Nike, Air Force, -14.62, 157, 111
Nike, Air Force, 46.96, 9, 338
Nike, Air Force, 15.22, 16, 265
Nike, Air Force, 67.39, 11, 385
Nike, Air Force, 270, 591, 555
Nike, Air Force, 108.67, 9607, 313
Nike, Air Force, -49.41, 2, 43
Nike, Air Force, -58.33, 1, 75
Nike, Air Force, -8, 2, 138
Nike, Air Force, 126.43, 44, 317
Nike, Air Force, -23.33, 25, 92
Nike, Air Force, 5.33, 22, 158
Nike, Air Force, -48, 5, 52
Nike, Air Force, -20.83, 2, 95
Nike, Air Force, 26, 1125, 126
Nike, Air Force, -18.79, 246, 134
Nike, Air Force, 24, 390, 124
Nike, Air Force, 35, 55, 108
Nike, Air Force, 27, 77, 127
Nike, Air Force, 27, 1345, 127
Nike, Air Force, 22.35, 200, 104
Nike, Air Force, 40.62, 4, 270
Nike, Air Force, 638.4, 46, 1846
Nike, Air Force, -31.03, 1, 100
Nike, Air Force, 0, 16, 150
Nike, Air Force, 49.09, 9, 164
Nike, Air Force, 20.91, 4, 133
Nike, Air Force, -12.22, 40, 79
Nike, Air Force, -27.78, 43, 65
Nike, Air Force, -31.58, 2, 65
Nike, Air Force, 27.78, 4, 115
Nike, Air Force, 28.24, 4, 109
Nike, Air Force, 30, 424, 117
Nike, Air Force, -28, 73, 72
Nike, Air Force, -44.44, 1, 50
Nike, Air Force, 4.44, 25, 94
Nike, Air Force, -12.5, 1, 70
Nike, Air Force, 17, 192, 117
Nike, Air Force, 17.78, 83, 106
Nike, Air Force, -5.56, 5, 85
Nike, Air Force, 12.22, 5, 101
Nike, Air Force, -4, 19, 192
Nike, Air Force, -24, 26, 152
Nike, Air Force, -18, 7, 164
Nike, Air Force, 63.2, 30, 408
Nike, Air Force, 77, 21, 177
Nike, Air Force, -16.84, 90, 79
Nike, Air Force, -55.79, 2, 42
Nike, Air Force, 0, 4, 95
Nike, Air Force, 1.05, 22, 96
Nike, Air Force, -23.81, 1, 80
Nike, Air Force, -21.14, 59, 138
Nike, Air Force, 7.43, 67, 188
Nike, Air Force, -31.43, 4, 72
Nike, Air Force, 47.83, 5, 170
Nike, Air Force, 49.23, 39, 194
Nike, Air Force, -46.29, 17, 94
Nike, Air Force, -19.43, 4, 141
Nike, Air Force, -31.58, 17, 65
Nike, Air Force, -25.93, 2, 100
Nike, Air Force, -13.94, 17, 142
Nike, Air Force, 17.65, 1, 100
Nike, Air Force, -22.11, 29, 74
Nike, Air Force, -42.86, 1, 60
Nike, Air Force, -40, 1, 120
Nike, Air Force, 39.39, 4506, 230
Nike, Air Force, 63.64, 6212, 270
Nike, Air Force, -26.32, 16, 70
Nike, Air Force, 31.92, 6, 343
Nike, Air Force, 38.85, 24, 361
Nike, Air Force, 75.77, 9, 457
Nike, Air Force, -10.53, 6, 85
Nike, Air Force, -50, 1, 75
Nike, Air Force, 15.65, 25, 133
Nike, Air Force, 31.3, 176, 151
Nike, Air Force, 16.84, 5, 111
Nike, Air Force, 32.17, 279, 152
Nike, Air Force, -18.79, 20, 134
Nike, Air Force, -9.47, 307, 86
Nike, Air Force, -36.84, 1, 60
Nike, Air Force, 35.71, 1, 190
Nike, Air Force, 11.25, 2, 178
Nike, Air Force, -15.62, 42, 135
Nike, Air Force, -44.44, 1, 100
Nike, Air Force, -4, 9, 96
Nike, Air Force, 33, 3, 133
Nike, Air Force, 29, 212, 129
Nike, Air Force, 32, 218, 132
Nike, Air Force, -7, 2, 93
Nike, Air Force, -10, 3, 108
Nike, Air Force, 6.67, 66, 128
Nike, Air Force, -29.29, 17, 99
Nike, Air Force, -21.43, 37, 110
Nike, Air Force, 53.12, 461, 245
Nike, Air Force, -44.38, 54, 89
Nike, Air Force, -22.86, 5, 108
Nike, Air Force, -29.33, 5, 106
Nike, Air Force, -53.71, 3, 81
Nike, Air Force, -45.33, 54, 82
