type, total_sales, name
KD, 4, KD 10 Racer Blue
KD, 9, KD 10 Royal Foamposite (GS)
KD, 62, KD 10 Still KD
KD, 5, KD 10 Still KD (SNKRS Exclusive With Pin Set)
KD, 114, KD 10 University Red
KD, 1, KD 10 University Red (GS)
KD, 58, KD 10 What the
KD, 51, KD 10 Wolf Grey
KD, 1, KD 11 BHM (2019)
KD, 24, KD 11 Black Twilight Pulse
KD, 2, KD 11 Black White Racer Blue
KD, 17, KD 11 Chinese Zodiac
KD, 2, KD 11 Chinese Zodiac (GS)
KD, 33, KD 11 Cool Grey
KD, 1, KD 11 EP EYBL
KD, 1075, KD 11 EYBL
KD, 40, KD 11 EYBL (GS)
KD, 14, KD 11 Just Do It
KD, 1, KD 11 Little Big Cats (TD)
KD, 121, KD 11 Multi-Color Metallic Gold
KD, 201, KD 11 Paranoid
KD, 127, KD 11 Still KD
KD, --, KD 2 All-Star (2010)
KD, 1, KD 2 OKC Away
KD, 2, KD 3 All star
KD, --, KD 3 Carbon Fiber
KD, 6, KD 3 Christmas
KD, 1, KD 3 EA Sports
KD, 2, KD 3 LS Scoring Title
KD, --, KD 3 Midnight Navy
KD, --, KD 3 Mike Miller
KD, 2, KD 3 OKC Away
KD, 1, KD 3 OKC Home
KD, 6, KD 3 Redskins
KD, 1, KD 3 TB Black
KD, --, KD 3 TB Black White
KD, --, KD 3 TB Green
KD, --, KD 3 TB Red
KD, --, KD 3 TB Royal
KD, --, KD 3 Texas
KD, 1, KD 3 Wolf Grey Del Sol
KD, 21, KD 4 Aunt Pearl
KD, 13, KD 4 Black History Month
KD, 8, KD 4 Copper (Christmas)
KD, 22, KD 4 Easter
KD, 40, KD 4 Galaxy AS
KD, 33, KD 4 Gold Medal
KD, 4, KD 4 N7 Black
KD, 6, KD 4 N7 White
KD, 7, KD 4 Nerf
KD, 7, KD 4 Rogue Green (UNDFTD)
KD, 12, KD 4 Scoring Title
KD, 13, KD 4 Texas Longhorns
KD, 943, KD 4 Think 16 (Thunderstruck)
KD, 9, KD 4 USA Olympic
KD, 10, KD 4 Weatherman
KD, 30, KD 4 Year of the Dragon
KD, 68, KD 5 All-Star Area 72
KD, 39, KD 5 Aunt Pearl
KD, 7, KD 5 Birch
KD, 13, KD 5 Black History Month
KD, 63, KD 5 Christmas
KD, 32, KD 5 DMV
KD, 27, KD 5 Easter
KD, 8, KD 5 Elite EYBL
KD, 3, KD 5 Elite Playoffs Home
KD, 15, KD 5 Elite Superhero
KD, 5, KD 5 Elite Team Orange
KD, 7, KD 5 Elite+ White Gold
KD, 5, KD 5 Ice Blue
KD, 17, KD 5 N7
KD, 23, KD 5 Splatter
KD, 2, KD 5 What the KD
KD, 76, KD 6 Aunt Pearl
KD, 7, KD 6 Away
KD, 11, KD 6 Away II
KD, 39, KD 6 BHM
KD, 20, KD 6 Bamboo
KD, 49, KD 6 Christmas
KD, 66, KD 6 EXT Floral
KD, 24, KD 6 EXT Gum
KD, 38, KD 6 Easter
KD, 9, KD 6 Elite Fragment Royal
KD, 26, KD 6 Elite Supremacy
KD, 8, KD 6 Elite Team
KD, 20, KD 6 Energy
KD, --, KD 6 GS Candy
KD, 3, KD 6 Home II
KD, 33, KD 6 Liger
KD, 8, KD 6 Light Crimson DC
KD, 14, KD 6 Maryland Blue Crab
KD, 83, KD 6 Meteorology
KD, 31, KD 6 N7
KD, 127, KD 6 NOLA Gumbo League "Illusion"
KD, 1, KD 6 NSW Lifestyle Birthday
KD, 16, KD 6 NYC 66
KD, 1, KD 6 Neutral
KD, 28, KD 6 Peanut Butter & Jelly (PBJ)
KD, 9, KD 6 Precision Timing
KD, 11, KD 6 Seat Pleasant
KD, 16, KD 6 Supreme D.C. Preheat
KD, 15, KD 6 Texas
KD, 224, KD 6 What the KD
KD, 23, KD 7 35,000 Degrees
KD, 44, KD 7 All-Star
KD, 210, KD 7 Aunt Pearl
KD, 23, KD 7 Aunt Pearl (GS)
KD, 44, KD 7 BHM 2015
KD, 16, KD 7 Calm Before the Storm
KD, 35, KD 7 Christmas Eggnog
KD, 16, KD 7 EXT Black Suede
KD, 131, KD 7 EXT Floral
KD, 28, KD 7 EXT Plaid & Polka Dot
KD, 7, KD 7 Easter
KD, 19, KD 7 Easy Money
KD, 14, KD 7 Electric Eel
KD, 29, KD 7 Elite EYBL
KD, 6, KD 7 Elite Elevate
KD, 6, KD 7 Elite Rose Gold
KD, 8, KD 7 Elite Team Pack
KD, 14, KD 7 Flight
KD, 62, KD 7 Global Game
KD, 24, KD 7 Good Apples
KD, --, KD 7 Hyper Punch (GS)
KD, 27, KD 7 Longhorn State
KD, 19, KD 7 N7
KD, 8, KD 7 NSW Challenge Red
KD, 5, KD 7 NSW Hazelnut
KD, --, KD 7 NSW Lifestyle Betta
KD, 4, KD 7 NSW Multi-Color
KD, 6, KD 7 OKC Away
KD, 1, KD 7 Peanut Butter Jelly (GS)
KD, 4, KD 7 Texas
KD, 17, KD 7 Uprising
KD, 65, KD 7 Weatherman
KD, 199, KD 7 What the KD
KD, 16, KD 8 All Star (2016)
KD, 86, KD 8 Aunt Pearl
KD, 6, KD 8 Away
KD, 10, KD 8 BHM (2016)
KD, 7, KD 8 Blackout
KD, 37, KD 8 Christmas
KD, 1, KD 8 Christmas (GS)
KD, 20, KD 8 EXT Floral Finish
KD, 3, KD 8 EXT Sail Chrome
KD, 16, KD 8 EXT Vachetta Tan
KD, 12, KD 8 EXT Woven Wonder
KD, 14, KD 8 Easter
KD, 5, KD 8 Easter 2016 (GS)
KD, 3, KD 8 Easy Euro
KD, 19, KD 8 Elite Away
KD, 2, KD 8 Elite Home
KD, 16, KD 8 Elite Wolf Grey
KD, 25, KD 8 Hunt's Hill Night
KD, 11, KD 8 Hunt's Hill Sunrise
KD, 7, KD 8 Independence Day
KD, --, KD 8 Money Ball (GS)
KD, 15, KD 8 N7
KD, --, KD 8 NSW Lifestyle Metallic Silver
KD, 4, KD 8 OKC
KD, 1, KD 8 Opening Night
KD, 1, KD 8 Peanut Butter Jelly PBJ (GS)
KD, 16, KD 8 Prince George
KD, 61, KD 8 Suit
KD, 22, KD 8 V8
KD, 11, KD 8 Vinary
KD, 2, KD 8 Vivid Orange
KD, 15, KD 8 What the
KD, 56, KD 9 Aunt Pearl
KD, 14, KD 9 BHM (2017)
KD, 12, KD 9 Battle Grey
KD, 32, KD 9 Birds of Paradise
KD, 50, KD 9 Black Space
KD, 34, KD 9 Black White
KD, 4, KD 9 Court Ready
KD, 44, KD 9 Elite Dark Grey Hyper Orange
KD, 18, KD 9 Elite Multi-Color
KD, 11, KD 9 Elite Wanda
KD, --, KD 9 Fairmount
KD, 5, KD 9 Fire and Ice (GS)
KD, --, KD 9 Game Royal (GS)
KD, 14, KD 9 Gold Medal
KD, 21, KD 9 Hard Work
KD, 14, KD 9 Home
KD, 26, KD 9 On Court
KD, 11, KD 9 Oreo
KD, 30, KD 9 Pre-Heat
KD, 27, KD 9 Summer Pack
KD, 3, KD 9 Summer Pack (GS)
KD, 26, KD 9 Texas
KD, 11, KD 9 The Sauce
KD, 60, KD 9 USA
KD, 40, KD 9 USA (GS)
KD, 52, KD 9 Unlimited
KD, 12, KD 9 Varsity Red
KD, --, KD 9 Wanda (GS)
KD, --, KD Trey 5 III Black Anthracite
KD, --, KD Trey 5 III Childhood
KD, --, KD Trey 5 III Rise
KD, --, KD Trey 5 III Thumbs Up
KD, --, KD Trey 5 IV Crimson
KD, 11, KD Trey 5 V Anthracite Black
KD, --, KD Trey 5 V Cool Grey
KD, --, KD Trey 5 V University Red Black
KD, 7, KD Trey 5 V Warriors
KD, 4, KD Trey 5 V White Pure Platinum
KD, --, Nike KD 1 OKC Home
KD, 4, Nike KD 10 Still KD (GS)
KD, 1, Nike KD Trey 5 IV Think Pink
KD, 5, KD 10 City Edition (GS)
KD, 130, KD 10 City Series
KD, 4, KD 5 Hulk
KD, 4, KD 5 Texas
