name, premium, brand, retail_price
Air VaporMax Grey Multi-Color, -3.16, Nike, 190
Air VaporMax Hyper Punch (W), 23.68, Nike, 190
Air VaporMax Moc 2 Acronym Black, 3.56, Nike, 225
Air VaporMax Moc 2 Acronym Light Bone, 20.44, Nike, 225
Air VaporMax Moc 2 Acronym Sail, -4, Nike, 225
Air VaporMax Moc 2 University Red Fuchsia Blast (W), 4, Nike, 200
Air VaporMax Moc Midnight Fog, -11.5, Nike, 200
Air VaporMax Off-White, 302.8, Nike, 250
Air VaporMax Oreo 2.0, 4.21, Nike, 190
Air VaporMax Platinum Red Black, -1.05, Nike, 190
Air VaporMax Plus Black Orange Crimson, 27.89, Nike, 190
Air VaporMax Plus Bordeaux (W), 5.79, Nike, 190
Air VaporMax Plus Cargo Khaki, 15.79, Nike, 190
Air VaporMax Plus Cool Grey Team Orange, -22.63, Nike, 190
Air VaporMax Plus Creamsicle (W), 10, Nike, 190
Air VaporMax Plus Grape, 6.84, Nike, 190
Air VaporMax Plus Hyper Blue, 1.05, Nike, 190
Air VaporMax Plus Olympic, -2.63, Nike, 190
Air VaporMax Plus Overbranding Black, -20, Nike, 190
Air VaporMax Plus Overbranding Bright Crimson, -22.63, Nike, 190
Air VaporMax Plus Rainbow, 5.79, Nike, 190
Air VaporMax Plus Reverse Sunset (W), 5.26, Nike, 190
Air VaporMax Plus Sherbet (W), 20.53, Nike, 190
Air VaporMax Plus Triple Black, 12.63, Nike, 190
Air VaporMax Plus USA, 6.32, Nike, 190
Air VaporMax Plus White, 6.84, Nike, 190
Air VaporMax Plus Work Blue, -12.63, Nike, 190
Air VaporMax Pure Platinum, 30, Nike, 190
Air VaporMax Run Utility Black Anthracite, -6.84, Nike, 190
Air VaporMax Run Utility Black Reflect Silver, -1.58, Nike, 190
Air VaporMax Run Utility Light Silver, -10.53, Nike, 190
Air VaporMax Run Utility Urban Bounce, 5.79, Nike, 190
Air VaporMax Triple Black 2.0, 28.95, Nike, 190
Air VaporMax Utility Black Cool Grey, -28.44, Nike, 225
Air Vapormax Off White 2018, 136.8, Nike, 250
Air Max 1 Desert Camo, -14.62, Nike, 130
Air Max 1 Just Do It White (W), 32.73, Nike, 110
Air Max 1 Master, 210, Nike, 130
Air Max 1 Mini Swoosh Work Blue, -13.08, Nike, 130
Air Max 1 Olive Canvas Dark Russet, 3.64, Nike, 110
Air Max 1 Solar Daisy, 0.67, Nike, 150
Air Max 1 Spring Mix (W), 9.29, Nike, 140
Air Max 1 Watermelon, 19.09, Nike, 110
Air Max 1 x Wasafu Los Primeros, -24.67, Nike, 150
Air Max 180 Comme des Garcons White, -15.38, Nike, 260
Air Max 270 Black Hot Punch, 8.67, Nike, 150
Air Max 270 Bowfin Black Desert, 12.5, Nike, 160
Air Max 270 Bowfin Black Photo Blue, 3.12, Nike, 160
Air Max 270 Flyknit Black White, -10.59, Nike, 170
Air Max 270 Grey Volt Orange, -37.33, Nike, 150
Air Max 270 Ocean Bliss (W), 15.33, Nike, 150
Air Max 270 Triple Black, -9.33, Nike, 150
Air Max 270 University Gold (GS), 40, Nike, 120
Air Max 90 Atmos We Love Nike (Bright Crimson), -12.14, Nike, 140
Air Max 90 OG Infrared (2015), 94.17, Nike, 120
Air Max 90 Ultra 2.0 Doernbecher Oregon Ducks, 33.08, Nike, 130
Air Max 93 Menthol (2018), -11.54, Nike, 130
Air Max 93 Watermelon, -29.23, Nike, 130
Air Max 95 Atmos Animal Pack 2.0 (2018 All Black Box), 82, Nike, 200
Air Max 95 OG Solar Red (2018), -15.62, Nike, 160
Air Max 97 All-Over Print Black Red, 26.25, Nike, 160
Air Max 97 Black Metallic Gold, -19.44, Nike, 180
Air Max 97 Country Camo (Germany), 32.78, Nike, 180
Air Max 97 Country Camo (USA), -15.56, Nike, 180
Air Max 97 LX Swarovski Gold (W), 12, Nike, 400
Air Max 97 Metallic Gold (GS), -0.67, Nike, 150
Air Max 97 Gold Mustard (W), 17.5, Nike, 160
Air Max 97 Off-White Menta, 302.63, Nike, 190
Air Max 97 Persian Violet, -22.5, Nike, 160
Air Max 97 Plus Layer Cake, -4, Nike, 175
