type, name, retail_price, total_sales, avg_sale_price, premium
Air Force, Air Force 1 Low Desert Camo Team Gold, 100, 101, 74, -26
Air Force, Air Force 1 Low Digi Camo, 175, 12, 167, -4.57
Air Force, Air Force 1 Low Doernbecher (2010), 88, 20, 123, 39.77
Air Force, Air Force 1 Low Doernbecher (2012), 125, 21, 127, 1.6
Air Force, Air Force 1 Low Doernbecher 2018 (GS), 75, 1, 125, 66.67
Air Force, Air Force 1 Low Doernbecher 2018 (W), 90, 192, 117, 30
Air Force, Air Force 1 Low Easter (2018), 130, 1284, 108, -16.92
Air Force, Air Force 1 Low Easter 2017, 140, 18, 199, 42.14
Air Force, Air Force 1 Low Elemental Gold Light Cream, 100, 15, 74, -26
Air Force, Air Force 1 Low Elemental Rose, 100, 1, 47, -53
Air Force, Air Force 1 Low Entourage George, --, 3, 1771, 
Air Force, Air Force 1 Low Ethiopian Clowns, 90, 2, 199, 121.11
Air Force, Air Force 1 Low Fantastic 4 Invisible Woman (W), 130, 16, 132, 1.54
Air Force, Air Force 1 Low Flax (2017), 120, 348, 108, -10
Air Force, Air Force 1 Low Flax (2018), 120, 299, 97, -19.17
Air Force, Air Force 1 Low Floral (2019), 100, 55, 122, 22
Air Force, Air Force 1 Low Flyknit Black Multi-Color, 160, 15, 140, -12.5
Air Force, Air Force 1 Low Flyknit Quai 54, 170, 7, 207, 21.76
Air Force, Air Force 1 Low Flyknit USA, 160, 68, 86, -46.25
Air Force, Air Force 1 Low Forest Green, 120, 6, 117, -2.5
Air Force, Air Force 1 Low Frankenstein, 190, 23, 112, -41.05
Air Force, Air Force 1 Low Game Royal, 120, 6, 116, -3.33
Air Force, Air Force 1 Low Glacier Grey Gum (W), 100, 14, 80, -20
Air Force, Air Force 1 Low Halloween (2005), 100, 2, 188, 88
Air Force, Air Force 1 Low Halloween Savage Beast, 135, 12, 211, 56.3
Air Force, Air Force 1 Low Haze NYC Laser, 150, 3, 243, 62
Air Force, Air Force 1 Low Hong Kong (2018), 130, 578, 71, -45.38
Air Force, Air Force 1 Low Huarache, 135, 1, 75, -44.44
Air Force, Air Force 1 Low Huarache Blue Green, 125, 2, 129, 3.2
Air Force, Air Force 1 Low Hyperpremium Vachetta Tan, 130, 3, 129, -0.77
Air Force, Air Force 1 Low Independence Day (2014), 90, 12, 107, 18.89
Air Force, Air Force 1 Low Independence Day (2017), 100, 49, 150, 50
Air Force, Air Force 1 Low Independence Day 2018 Navy (GS), 95, 1, 190, 100
Air Force, Air Force 1 Low Jamaica Drum, 80, 4, 60, -25
Air Force, Air Force 1 Low Jelly Jewel Black, 130, 24, 109, -16.15
Air Force, Air Force 1 Low Jelly Jewel Obsidian Mist, 130, 11, 136, 4.62
Air Force, Air Force 1 Low Jelly Puff Pale Ivory (W), 100, 16, 133, 33
Air Force, Air Force 1 Low Jewel Black Metallic Gold, 100, 12, 119, 19
Air Force, Air Force 1 Low Jewel Black Metallic Gold White, 100, 2, 100, 0
Air Force, Air Force 1 Low Jewel Neutral Olive (W), 135, 2, 205, 51.85
Air Force, Air Force 1 Low Jewel Phantom (W), 135, 11, 143, 5.93
Air Force, Air Force 1 Low Jewel Sail, 150, 6, 154, 2.67
Air Force, Air Force 1 Low John Elliott White, 150, 648, 150, 0
Air Force, Air Force 1 Low John Geiger La Flame White, 500, 1, 700, 40
Air Force, Air Force 1 Low Jones Beach, 130, 1, 125, -3.85
Air Force, Air Force 1 Low Jones Beach (2017), 130, 34, 131, 0.77
Air Force, Air Force 1 Low Just Do It Pack Black, 100, 161, 98, -2
Air Force, Air Force 1 Low Just Do It Pack Black (GS), 85, 1, 79, -7.06
Air Force, Air Force 1 Low Just Do It Pack Orange, 100, 134, 91, -9
Air Force, Air Force 1 Low Just Do It Pack Orange (GS), 85, 50, 99, 16.47
Air Force, Air Force 1 Low Just Do It Pack Total Orange, 130, 1027, 143, 10
Air Force, Air Force 1 Low Just Do It Pack White, 130, 71, 126, -3.08
Air Force, Air Force 1 Low Just Do It Pack White (GS), 85, 590, 125, 47.06
Air Force, Air Force 1 Low Just Do It Pack White Clear, 100, 64, 112, 12
Air Force, Air Force 1 Low Khaki, 90, 1, 50, -44.44
Air Force, Air Force 1 Low Kobe, 250, 13, 189, -24.4
Air Force, Air Force 1 Low LA (2016), 120, 11, 81, -32.5
Air Force, Air Force 1 Low LA Map, 90, 7, 134, 48.89
Air Force, Air Force 1 Low Lady Liberty, 125, 43, 139, 11.2
Air Force, Air Force 1 Low LeBron, 80, 8, 132, 65
Air Force, Air Force 1 Low LeBron James (Cavs), 75, 10, 156, 108
Air Force, Air Force 1 Low LeBron SVSM, 130, 8, 171, 31.54
Air Force, Air Force 1 Low Light Chocolate, 80, 1, 130, 62.5
Air Force, Air Force 1 Low Linen Kith Exclusive, 120, 73, 312, 160
Air Force, Air Force 1 Low Linen University Blue, 80, 6, 114, 42.5
Air Force, Air Force 1 Low Los Primeros, 150, 210, 109, -27.33
Air Force, Air Force 1 Low Love, 120, 20, 287, 139.17
Air Force, Air Force 1 Low Love (W), 120, 12, 220, 83.33
Air Force, Air Force 1 Low Lucha Libre, 125, 6, 103, -17.6
Air Force, Air Force 1 Low Lunar New Year (2018), 130, 64, 136, 4.62
Air Force, Air Force 1 Low Lunar New Year 2018 (W), 130, 50, 185, 42.31
Air Force, Air Force 1 Low Lux, 310, 1, 300, -3.23
Air Force, Air Force 1 Low Lux All-Star 2018 Black (W), 115, 21, 95, -17.39
Air Force, Air Force 1 Low Lux All-Star 2018 White (W), 115, 12, 115, 0
Air Force, Air Force 1 Low Lux Anaconda, 2000, 13, 541, -72.95
