brand, name, retail_price, total_sales, avg_sale_price
Adidas, adidas Solar Hu Glide White, 150, 517, 193
Nike, Kobe NXT 360 Black Multi-Color, 200, 965, 249
Jordan, Jordan 11 Retro Concord 2018 (GS), 170, 3054, 186
Adidas, adidas Ultra Boost 1.0 UNDFTD White, 219, 1225, 289
Jordan, Jordan 1 Retro David Letterman, 160, 538, 106
Nike, Nike M2K Tekno Pink Foam (W), 100, 519, 144
Jordan, Jordan 1 Mid Pro Purple Desert Sand (GS), 90, 812, 132
Jordan, Jordan 13 Retro He Got Game 2018 (GS), 140, 4363, 176
Other, Converse Chuck Taylor All-Star 70s Ox Comme des Garcons PLAY Black, 120, 1150, 141
Nike, Air Max 1 Anniversary Obsidian, 140, 837, 197
Nike, LeBron 15 Griffey, 200, 760, 290
Jordan, Jordan 5 Retro Grape (2013), 160, 807, 207
Adidas, adidas Yung-1 Collegiate Navy, 130, 1256, 131
Nike, Air Max 98 White, 160, 505, 172
Jordan, Jordan 4 Retro Royalty, 190, 1388, 240
Jordan, Jordan 3 Retro Tinker Hatfield, 200, 10424, 265
Adidas, adidas Yeezy 500 Utility Black, 200, 22694, 288
Adidas, adidas Yung-1 Hi-Res Orange, 130, 1337, 135
Jordan, Jordan 3 Retro Quai54 (2018), 180, 1414, 263
Jordan, Jordan 11 Retro Low Barons, 175, 841, 231
Adidas, adidas Deerupt Dragon Ball Z Son Gohan, 100, 1730, 192
Jordan, Jordan 1 Mid White Black (GS), 90, 1429, 126
Jordan, Jordan 12 Retro Doernbecher (2017), 190, 507, 254
Jordan, Jordan 4 Retro Toro Bravo, 160, 747, 348
Jordan, Jordan 3 Retro Black Cement 2018 (GS), 140, 2332, 120
Jordan, Jordan 1 Retro High Union Los Angeles Black Toe, 190, 4252, 677
Other, Converse Chuck Taylor All-Star 70s Hi Comme des Garcons PLAY Black, 125, 1980, 153
Jordan, Jordan 3 Retro Chlorophyll, 190, 1720, 142
Jordan, Jordan 1 Retro High City of Flight, 160, 1159, 105
Nike, Air Max Deluxe Photo Blue Orange Peel, 180, 599, 183
Nike, Air Max 90 Off-White, 160, 914, 872
Jordan, Jordan 12 Retro Winter Black (GS), 140, 647, 162
Jordan, Jordan 1 Retro High OG Sail (GS), 120, 571, 101
Nike, Air Foamposite One Eggplant (2017), 230, 796, 215
Adidas, adidas NMD R1 Sashiko White, 170, 761, 108
Nike, Air Force 1 Low Easter (2018), 130, 1284, 108
Jordan, Jordan 9 Retro OG (2016), 190, 893, 239
Adidas, adidas Ultra Boost Clima White, 200, 549, 152
Nike, Air VaporMax 95 Neon, 190, 1058, 174
Jordan, Jordan 4 Retro Levi's Black (Blank Tag), 225, 974, 294
Jordan, Jordan 18 Retro Toro, 225, 1693, 270
Nike, Air VaporMax Plus Grape, 190, 1578, 203
Adidas, adidas Yeezy Boost 750 Light Brown Gum (Chocolate), 350, 689, 714
Jordan, Jordan 8 Retro Aqua (2015), 190, 1045, 200
Adidas, adidas Ultra Boost OG (2018), 180, 2124, 188
Jordan, Jordan 1 Retro High Clay Green, 160, 8002, 222
Jordan, Jordan 11 Retro Low Midnight Navy, 170, 740, 205
Nike, KD 4 Think 16 (Thunderstruck), 140, 943, 129
